,language,title,timestamp,user,action,comment,type,level,expiry,article
91,uk,Бандера Степан Андрійович,2009-05-28 09:17:41,Gutsul,modify,непродуктивна війна редагувань,,,2029-12-31 23:59:59,Stepan_Bandera
92,uk,Бандера Степан Андрійович,2009-04-10 08:41:47,Ilya,modify,перевірка принадливості,,,2029-12-31 23:59:59,Stepan_Bandera
93,uk,Бандера Степан Андрійович,2008-04-12 22:33:22,Ilya,protect,вандалізм [edit=autoconfirmed:move=autoconfirmed],,,,Stepan_Bandera
94,uk,Бандера Степан Андрійович,2008-01-08 19:52:42,Albedo,protect,"вандалізація [edit=autoconfirmed:move=autoconfirmed] (закінчується 00:00, 1 лютого 2008 (UTC))",,,2008-02-01 00:00:00,Stepan_Bandera
95,ru,"Бандера, Степан Андреевич",2013-09-01 15:36:35,Wulfson,protect,,,,2029-12-31 23:59:59,Stepan_Bandera
96,ru,"Бандера, Степан Андреевич",2013-01-04 19:28:50,Wanderer777,protect,частый [[ВП:В|вандализм]],,,2013-04-04 19:28:00,Stepan_Bandera
97,ru,"Бандера, Степан Андреевич",2012-12-08 16:57:51,Vladimir Solovjev,protect,частый [[ВП:В|вандализм]],,,2012-12-11 16:57:00,Stepan_Bandera
98,ru,"Бандера, Степан Андреевич",2012-12-07 17:02:54,Vladimir Solovjev,protect,частый [[ВП:В|вандализм]],,,2012-12-10 17:02:00,Stepan_Bandera
99,ru,"Бандера, Степан Андреевич",2012-12-02 22:29:31,Victoria,protect,частый [[ВП:В|вандализм]],,,2012-12-03 22:29:00,Stepan_Bandera
100,ru,"Бандера, Степан Андреевич",2012-10-26 15:07:27,Victoria,modify,активная [[ВП:ВОЙ|война правок]],,,2012-10-27 15:07:00,Stepan_Bandera
101,ru,"Бандера, Степан Андреевич",2012-10-15 17:03:10,Alex Smotrov,protect,частый [[ВП:В|вандализм]],,,2012-11-15 17:03:00,Stepan_Bandera
102,ru,"Бандера, Степан Андреевич",2011-11-01 18:09:59,Alex Smotrov,protect,частый [[ВП:В|вандализм]],,,2011-12-01 18:09:00,Stepan_Bandera
103,ru,"Бандера, Степан Андреевич",2011-10-25 15:28:13,Alex Smotrov,protect,частый [[ВП:В|вандализм]],,,2011-11-01 15:28:00,Stepan_Bandera
104,ru,"Бандера, Степан Андреевич",2011-08-08 20:18:04,Wanderer777,protect,"активная [[ВП:ВОЙ|война правок]]: Коллеги, пожалуйста, на страницу обсуждения",,,2011-08-09 20:18:00,Stepan_Bandera
